itrial,n,dgp,method,rmse,coverage,width,coverage_type,time,num_outliers
1,50,linear,CV+ XBART,3.668080880882616,0.782608695652174,8.557736670850023,Exterior,1.2446110248565674,46
1,50,linear,CV+ RF,5.112845431592406,0.62,10.768829098530272,Overall,0.18784117698669434,46
1,50,linear,CV+ RF,2.8507126661493305,1.0,10.928557788309053,Interior,0.18784117698669434,46
1,50,linear,CV+ RF,5.263808279076029,0.5869565217391305,10.754939647245163,Exterior,0.18784117698669434,46
1,100,linear,XBART,3.715524767014124,0.56,5.823397203816576,Overall,0.2864689826965332,77
1,100,linear,XBART,2.7960838050811105,0.6956521739130435,5.875121850638787,Interior,0.2864689826965332,77
1,100,linear,XBART,3.9488556333329083,0.5194805194805194,5.807946984635917,Exterior,0.2864689826965332,77
1,100,linear,XBART-GP,2.7259441789111243,0.83,6.69608615075849,Overall,1.3666813373565674,77
1,100,linear,XBART-GP,2.2316444799943427,0.8695652173913043,5.998700952881891,Interior,1.3666813373565674,77
1,100,linear,XBART-GP,2.8570525946385845,0.8181818181818182,6.904396015059293,Exterior,1.3666813373565674,77
1,100,linear,jackknife+ XBART,2.8224728373699626,0.76,6.200874757127467,Overall,27.82676935195923,77
1,100,linear,jackknife+ XBART,1.6533548655524437,0.9565217391304348,6.237457502680203,Interior,27.82676935195923,77
1,100,linear,jackknife+ XBART,3.0869707309242025,0.7012987012987013,6.189947443520805,Exterior,27.82676935195923,77
1,100,linear,jackknife+ RF,4.47212819482692,0.64,8.823460924566243,Overall,2.9474215507507324,77
1,100,linear,jackknife+ RF,3.768922867994767,0.782608695652174,8.885866988463638,Interior,2.9474215507507324,77
1,100,linear,jackknife+ RF,4.661646675011923,0.5974025974025974,8.804820152233255,Exterior,2.9474215507507324,77
1,100,linear,CV+ XBART,2.840920559109359,0.78,6.462335138984344,Overall,2.5112242698669434,77
1,100,linear,CV+ XBART,1.638514660844396,0.9565217391304348,6.528715667314155,Interior,2.5112242698669434,77
1,100,linear,CV+ XBART,3.1112159178987735,0.7272727272727273,6.442507188963751,Exterior,2.5112242698669434,77
